dataset,task,n_components,quantum,classical,qsvm_f1_macro_mean,classical_f1_macro_mean,delta_classical_minus_qsvm,ttest_statistic,ttest_pvalue,wilcoxon_statistic,wilcoxon_pvalue,ttest_significant_at_05
cic-malmem,multiclass,1,qsvm-joint,lightgbm,0.05765708908839197,0.1094444474827176,0.05178735839432563,-4.380852454798383,0.011867006888581623,0.0,0.0625,True
cic-malmem,multiclass,1,qsvm-joint,svm,0.05765708908839197,0.10746862194622038,0.04981153285782841,-8.889171510036112,0.0008849632880229111,0.0,0.0625,True
cic-malmem,multiclass,3,qsvm-angle,random_forest,0.05846775009588913,0.13983493205054426,0.08136718195465513,-12.021479154726073,0.00027450241800175716,0.0,0.0625,True
cic-malmem,multiclass,3,qsvm-angle,xgboost,0.05846775009588913,0.12698421157190679,0.06851646147601766,-9.834428777237198,0.0005995098299471557,0.0,0.0625,True
cic-malmem,multiclass,3,qsvm-angle,lightgbm,0.05846775009588913,0.1185346803402512,0.06006693024436208,-5.751015756801219,0.004532502601044515,0.0,0.0625,True
cic-malmem,multiclass,3,qsvm-angle,svm,0.05846775009588913,0.1308613812338487,0.07239363113795956,-5.221724955685036,0.006419890733285781,0.0,0.0625,True
cic-malmem,multiclass,3,qsvm-iqp,random_forest,0.07068357969607764,0.13983493205054426,0.06915135235446662,-6.946543783881665,0.0022559891825257618,0.0,0.0625,True
cic-malmem,multiclass,3,qsvm-iqp,xgboost,0.07068357969607764,0.12698421157190679,0.05630063187582915,-8.295795450190333,0.00115286284909227,0.0,0.0625,True
cic-malmem,multiclass,3,qsvm-iqp,lightgbm,0.07068357969607764,0.1185346803402512,0.04785110064417357,-4.112462666927015,0.014702559044764404,0.0,0.0625,True
cic-malmem,multiclass,3,qsvm-iqp,svm,0.07068357969607764,0.1308613812338487,0.06017780153777105,-3.7981277272515803,0.019134465680309062,0.0,0.0625,True
cic-malmem,multiclass,3,qsvm-joint,random_forest,0.05849303198827214,0.13983493205054426,0.08134190006227213,-10.207022679300497,0.0005191146704253787,0.0,0.0625,True
cic-malmem,multiclass,3,qsvm-joint,xgboost,0.05849303198827214,0.12698421157190679,0.06849117958363465,-11.423125684017718,0.00033507551734119094,0.0,0.0625,True
cic-malmem,multiclass,3,qsvm-joint,lightgbm,0.05849303198827214,0.1185346803402512,0.06004164835197907,-7.089141755753014,0.0020905218340994806,0.0,0.0625,True
cic-malmem,multiclass,3,qsvm-joint,svm,0.05849303198827214,0.1308613812338487,0.07236834924557656,-5.060814250151006,0.007176440828695275,0.0,0.0625,True
cic-malmem,multiclass,6,qsvm-angle,random_forest,0.06813241013003646,0.1509929786505269,0.08286056852049045,-4.874043170291212,0.008195740887739469,0.0,0.0625,True
cic-malmem,multiclass,6,qsvm-angle,xgboost,0.06813241013003646,0.1493892811235486,0.08125687099351214,-5.961554643741159,0.003975047801694693,0.0,0.0625,True
cic-malmem,multiclass,6,qsvm-angle,lightgbm,0.06813241013003646,0.15712245865844301,0.08899004852840656,-5.621412603860975,0.004923605875103666,0.0,0.0625,True
cic-malmem,multiclass,6,qsvm-angle,svm,0.06813241013003646,0.1647451081849126,0.09661269805487613,-6.609532164796508,0.002716049697846624,0.0,0.0625,True
cic-malmem,multiclass,6,qsvm-iqp,random_forest,0.0793682270676792,0.1509929786505269,0.07162475158284771,-8.80247951140532,0.0009188801277773035,0.0,0.0625,True
